user_id	item_id	prediction
1	109241	5.0
1	56152	5.0
1	77866	5.0
1	63853	5.0
1	2922	5.0
1	84944	5.0
1	1417	5.0
1	4121	5.0
1	7099	5.0
1	33679	5.0
10	2367	5.0
10	168090	5.0
10	3197	5.0
10	84944	5.0
10	1544	5.0
10	7099	5.0
10	147372	5.0
10	2206	5.0
10	33437	5.0
10	3347	5.0
11	800	5.0
11	32898	5.0
11	1417	5.0
11	72226	5.0
11	3201	5.0
11	2206	5.0
11	3054	5.0
11	27731	5.0
11	2147	5.0
11	2009	5.0
12	109241	5.0
12	800	5.0
12	56152	5.0
12	183897	5.0
12	140289	5.0
12	852	5.0
12	2922	5.0
12	7099	5.0
12	1374	5.0
12	5300	5.0
13	109241	5.0
13	56152	5.0
13	63853	5.0
13	140289	5.0
13	2367	5.0
13	168090	5.0
13	7099	5.0
13	1374	5.0
13	2206	5.0
13	33679	5.0
14	109241	5.0
14	56152	5.0
14	183897	5.0
14	6283	5.0
14	140289	5.0
14	2922	5.0
14	84944	5.0
14	1374	5.0
14	5300	5.0
14	2147	5.0
15	109241	5.0
15	800	5.0
15	2367	5.0
15	32898	5.0
15	26183	5.0
15	168090	5.0
15	4496	5.0
15	1544	5.0
15	7067	5.0
15	7099	5.0
16	109241	5.0
16	588	5.0
16	2367	5.0
16	32898	5.0
16	26183	5.0
16	53972	5.0
16	84944	5.0
16	3201	5.0
16	2206	5.0
16	5218	5.0
17	109241	5.0
17	588	5.0
17	2367	5.0
17	168090	5.0
17	53972	5.0
17	84944	5.0
17	32009	5.0
17	3350	5.0
17	1544	5.0
17	33493	5.0
18	800	5.0
18	56152	5.0
18	3401	5.0
18	77866	5.0
18	358	5.0
18	168090	5.0
18	2075	5.0
18	2565	5.0
18	7099	5.0
18	86298	5.0
19	2373	5.0
19	800	5.0
19	1116	5.0
19	108981	5.0
19	26183	5.0
19	168090	5.0
19	3916	5.0
19	84944	5.0
19	4496	5.0
19	4084	5.0
2	109241	5.0
2	800	5.0
2	56152	5.0
2	2367	5.0
2	168090	5.0
2	3197	5.0
2	1544	5.0
2	7099	5.0
2	147372	5.0
2	2206	5.0
20	2373	5.0
20	56152	5.0
20	77866	5.0
20	2324	5.0
20	84944	5.0
20	337	5.0
20	4121	5.0
20	3801	5.0
20	27731	5.0
20	33679	5.0
21	111921	5.0
21	56152	5.0
21	3556	5.0
21	84944	5.0
21	337	5.0
21	7099	5.0
21	147372	5.0
21	3054	5.0
21	174141	5.0
21	2857	5.0
22	109241	5.0
22	56152	5.0
22	183897	5.0
22	140289	5.0
22	3197	5.0
22	2922	5.0
22	72226	5.0
22	7099	5.0
22	1374	5.0
22	2147	5.0
23	109241	5.0
23	588	5.0
23	3999	5.0
23	798	5.0
23	168090	5.0
23	53972	5.0
23	32009	5.0
23	3350	5.0
23	72226	5.0
23	1544	5.0
24	109241	5.0
24	56152	5.0
24	2367	5.0
24	26183	5.0
24	32009	5.0
24	3350	5.0
24	72226	5.0
24	33493	5.0
24	7099	5.0
24	2206	5.0
25	109241	5.0
25	800	5.0
25	56152	5.0
25	183897	5.0
25	140289	5.0
25	852	5.0
25	2922	5.0
25	7099	5.0
25	1374	5.0
25	5300	5.0
26	32	5.0
26	56152	5.0
26	3999	5.0
26	6283	5.0
26	168090	5.0
26	1544	5.0
26	147372	5.0
26	3054	5.0
26	5300	5.0
26	2147	5.0
27	109241	5.0
27	800	5.0
27	32	5.0
27	56152	5.0
27	183897	5.0
27	140289	5.0
27	2367	5.0
27	26183	5.0
27	7067	5.0
27	7099	5.0
28	109241	5.0
28	3451	5.0
28	56152	5.0
28	393	5.0
28	3329	5.0
28	4785	5.0
28	1417	5.0
28	4496	5.0
28	7099	5.0
28	86298	5.0
29	109241	5.0
29	3999	5.0
29	32898	5.0
29	2922	5.0
29	1417	5.0
29	7099	5.0
29	3201	5.0
29	40278	5.0
29	3054	5.0
29	5300	5.0
3	109241	5.0
3	56152	5.0
3	183897	5.0
3	63853	5.0
3	140289	5.0
3	2922	5.0
3	7099	5.0
3	1374	5.0
3	2147	5.0
3	33679	5.0
30	109241	5.0
30	800	5.0
30	56152	5.0
30	852	5.0
30	2367	5.0
30	168090	5.0
30	3197	5.0
30	1544	5.0
30	7099	5.0
30	147372	5.0
31	109241	5.0
31	56152	5.0
31	63853	5.0
31	2367	5.0
31	168090	5.0
31	3197	5.0
31	1544	5.0
31	7099	5.0
31	147372	5.0
31	2206	5.0
32	109241	5.0
32	140289	5.0
32	2367	5.0
32	168090	5.0
32	84944	5.0
32	32009	5.0
32	3350	5.0
32	1544	5.0
32	33493	5.0
32	7099	5.0
33	56152	5.0
33	84944	5.0
33	4121	5.0
33	3468	5.0
33	7099	5.0
33	3054	5.0
33	5300	5.0
33	33679	5.0
33	2009	5.0
33	32657	5.0
34	2373	5.0
34	800	5.0
34	3999	5.0
34	168090	5.0
34	32009	5.0
34	3350	5.0
34	27618	5.0
34	1544	5.0
34	33493	5.0
34	7099	5.0
35	109241	5.0
35	800	5.0
35	56152	5.0
35	183897	5.0
35	140289	5.0
35	852	5.0
35	3197	5.0
35	2922	5.0
35	7099	5.0
35	1374	5.0
36	109241	5.0
36	800	5.0
36	183897	5.0
36	140289	5.0
36	2922	5.0
36	72226	5.0
36	1374	5.0
36	5300	5.0
36	2147	5.0
36	5218	5.0
37	109241	5.0
37	800	5.0
37	56152	5.0
37	183897	5.0
37	140289	5.0
37	852	5.0
37	3197	5.0
37	2922	5.0
37	7099	5.0
37	1374	5.0
38	109241	5.0
38	588	5.0
38	183897	5.0
38	140289	5.0
38	3197	5.0
38	2922	5.0
38	7099	5.0
38	1374	5.0
38	2147	5.0
38	174141	5.0
39	109241	5.0
39	798	5.0
39	140289	5.0
39	2367	5.0
39	168090	5.0
39	2922	5.0
39	84944	5.0
39	27618	5.0
39	4496	5.0
39	337	5.0
4	56152	5.0
4	3329	5.0
4	2922	5.0
4	84944	5.0
4	7099	5.0
4	5300	5.0
4	2009	5.0
4	98243	5.0
4	29	5.0
4	2141	5.0
40	109241	5.0
40	140289	5.0
40	2367	5.0
40	4785	5.0
40	32898	5.0
40	168090	5.0
40	72226	5.0
40	7099	5.0
40	1374	5.0
40	3201	5.0
41	109241	5.0
41	56152	5.0
41	6283	5.0
41	84944	5.0
41	1417	5.0
41	337	5.0
41	899	5.0
41	7099	5.0
41	126921	5.0
41	2331	5.0
42	56152	5.0
42	63853	5.0
42	2922	5.0
42	84944	5.0
42	3350	5.0
42	64285	5.0
42	7099	5.0
42	27731	5.0
42	3000	5.0
42	52435	5.0
43	32296	5.0
43	2367	5.0
43	168090	5.0
43	2922	5.0
43	4496	5.0
43	1544	5.0
43	7099	5.0
43	147372	5.0
43	2206	5.0
43	5300	5.0
44	109241	5.0
44	56152	5.0
44	551	5.0
44	140289	5.0
44	2367	5.0
44	168090	5.0
44	7099	5.0
44	1374	5.0
44	2206	5.0
44	33679	5.0
45	56152	5.0
45	32898	5.0
45	84944	5.0
45	1417	5.0
45	4121	5.0
45	7099	5.0
45	86298	5.0
45	48774	5.0
45	3000	5.0
45	98243	5.0
46	800	5.0
46	3999	5.0
46	2367	5.0
46	168090	5.0
46	32009	5.0
46	3350	5.0
46	72226	5.0
46	1544	5.0
46	33493	5.0
46	147372	5.0
47	109241	5.0
47	32	5.0
47	56152	5.0
47	2367	5.0
47	26183	5.0
47	168090	5.0
47	1544	5.0
47	7099	5.0
47	147372	5.0
47	2206	5.0
48	109241	5.0
48	56152	5.0
48	183897	5.0
48	140289	5.0
48	2922	5.0
48	84944	5.0
48	1374	5.0
48	5300	5.0
48	2147	5.0
48	33679	5.0
49	56152	5.0
49	2367	5.0
49	168090	5.0
49	1544	5.0
49	7099	5.0
49	147372	5.0
49	2206	5.0
49	5300	5.0
49	33679	5.0
49	3190	5.0
5	109241	5.0
5	56152	5.0
5	183897	5.0
5	6283	5.0
5	140289	5.0
5	3197	5.0
5	2922	5.0
5	84944	5.0
5	1374	5.0
5	2147	5.0
50	56152	5.0
50	84944	5.0
50	4121	5.0
50	72226	5.0
50	147372	5.0
50	2206	5.0
50	5300	5.0
50	70336	5.0
50	172825	5.0
50	2009	5.0
51	56152	5.0
51	32898	5.0
51	2922	5.0
51	3410	5.0
51	7099	5.0
51	126921	5.0
51	27731	5.0
51	3000	5.0
51	98243	5.0
51	1473	5.0
52	109241	5.0
52	183897	5.0
52	140289	5.0
52	2367	5.0
52	3197	5.0
52	7099	5.0
52	1374	5.0
52	2147	5.0
52	5218	5.0
52	174141	5.0
53	109241	5.0
53	800	5.0
53	56152	5.0
53	551	5.0
53	183897	5.0
53	140289	5.0
53	852	5.0
53	2922	5.0
53	7099	5.0
53	1374	5.0
54	109241	5.0
54	56152	5.0
54	183897	5.0
54	6283	5.0
54	140289	5.0
54	3197	5.0
54	1374	5.0
54	2147	5.0
54	33679	5.0
54	174141	5.0
55	109241	5.0
55	800	5.0
55	56152	5.0
55	183897	5.0
55	140289	5.0
55	852	5.0
55	3197	5.0
55	2922	5.0
55	7099	5.0
55	1374	5.0
56	32	5.0
56	56152	5.0
56	6283	5.0
56	2367	5.0
56	168090	5.0
56	84944	5.0
56	1544	5.0
56	147372	5.0
56	2206	5.0
56	3054	5.0
57	56152	5.0
57	63853	5.0
57	26183	5.0
57	425	5.0
57	84944	5.0
57	64285	5.0
57	3763	5.0
57	3468	5.0
57	7099	5.0
57	126921	5.0
58	109241	5.0
58	183897	5.0
58	3999	5.0
58	798	5.0
58	140289	5.0
58	3197	5.0
58	2922	5.0
58	84944	5.0
58	7099	5.0
58	1374	5.0
59	56152	5.0
59	32296	5.0
59	798	5.0
59	4785	5.0
59	2922	5.0
59	84944	5.0
59	7099	5.0
59	43869	5.0
59	2331	5.0
59	70336	5.0
6	2373	5.0
6	3451	5.0
6	56152	5.0
6	2324	5.0
6	32898	5.0
6	84944	5.0
6	4121	5.0
6	72226	5.0
6	1544	5.0
6	899	5.0
60	109241	5.0
60	800	5.0
60	56152	5.0
60	183897	5.0
60	140289	5.0
60	852	5.0
60	2922	5.0
60	7099	5.0
60	1374	5.0
60	5300	5.0
61	109241	5.0
61	56152	5.0
61	6283	5.0
61	2367	5.0
61	168090	5.0
61	3197	5.0
61	84944	5.0
61	1544	5.0
61	147372	5.0
61	2206	5.0
62	2373	5.0
62	1831	5.0
62	168090	5.0
62	2097	5.0
62	2922	5.0
62	84944	5.0
62	4121	5.0
62	3468	5.0
62	7099	5.0
62	126921	5.0
63	2373	5.0
63	800	5.0
63	56152	5.0
63	32296	5.0
63	2324	5.0
63	84944	5.0
63	1417	5.0
63	27618	5.0
63	5300	5.0
63	70336	5.0
64	2373	5.0
64	109241	5.0
64	56152	5.0
64	358	5.0
64	2968	5.0
64	4496	5.0
64	4121	5.0
64	7099	5.0
64	2206	5.0
64	3054	5.0
65	109241	5.0
65	56152	5.0
65	63853	5.0
65	2367	5.0
65	168090	5.0
65	3197	5.0
65	1544	5.0
65	7099	5.0
65	147372	5.0
65	2206	5.0
66	109241	5.0
66	63853	5.0
66	3329	5.0
66	1417	5.0
66	4121	5.0
66	3793	5.0
66	7099	5.0
66	5300	5.0
66	27731	5.0
66	48774	5.0
67	109241	5.0
67	32	5.0
67	56152	5.0
67	183897	5.0
67	63853	5.0
67	140289	5.0
67	7099	5.0
67	1374	5.0
67	3054	5.0
67	2147	5.0
68	378	5.0
68	148	5.0
68	26183	5.0
68	168090	5.0
68	4121	5.0
68	7099	5.0
68	180031	5.0
68	4683	5.0
68	6713	5.0
68	148626	5.0
69	109241	5.0
69	800	5.0
69	588	5.0
69	183897	5.0
69	3999	5.0
69	140289	5.0
69	3197	5.0
69	2922	5.0
69	53972	5.0
69	7099	5.0
7	109241	5.0
7	800	5.0
7	6283	5.0
7	2367	5.0
7	32898	5.0
7	26183	5.0
7	168090	5.0
7	32009	5.0
7	72226	5.0
7	1544	5.0
70	109241	5.0
70	32	5.0
70	3999	5.0
70	2367	5.0
70	26183	5.0
70	168090	5.0
70	1544	5.0
70	7099	5.0
70	147372	5.0
70	2206	5.0
71	109241	5.0
71	800	5.0
71	56152	5.0
71	551	5.0
71	140289	5.0
71	2367	5.0
71	168090	5.0
71	7099	5.0
71	1374	5.0
71	2206	5.0
72	109241	5.0
72	56152	5.0
72	183897	5.0
72	63853	5.0
72	140289	5.0
72	3197	5.0
72	7099	5.0
72	1374	5.0
72	2147	5.0
72	33679	5.0
73	2373	5.0
73	800	5.0
73	2324	5.0
73	1417	5.0
73	32009	5.0
73	3350	5.0
73	27618	5.0
73	33493	5.0
73	7099	5.0
73	86298	5.0
74	109241	5.0
74	56152	5.0
74	2367	5.0
74	32898	5.0
74	26183	5.0
74	84944	5.0
74	32009	5.0
74	7099	5.0
74	2206	5.0
74	5541	5.0
75	109241	5.0
75	800	5.0
75	32	5.0
75	3999	5.0
75	2367	5.0
75	26183	5.0
75	3350	5.0
75	72226	5.0
75	2206	5.0
75	3054	5.0
76	109241	5.0
76	800	5.0
76	32	5.0
76	3999	5.0
76	63853	5.0
76	2367	5.0
76	168090	5.0
76	3350	5.0
76	1544	5.0
76	7099	5.0
77	109241	5.0
77	56152	5.0
77	183897	5.0
77	63853	5.0
77	140289	5.0
77	2922	5.0
77	7099	5.0
77	1374	5.0
77	2147	5.0
77	33679	5.0
78	109241	5.0
78	32	5.0
