user_id	item_id	imdbId	Movie Id	Title	Year	urls	explanations
484754	2728	0054331	2728	Spartacus	1960	https://m.media-amazon.com/images/M/MV5BMjc4MTUxN2UtMmU1NC00MjQyLTk3YTYtZTQ0YzEzZDc0Njc0XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX182_CR0,0,182,268_AL_.jpg	{'Western': 0.284, 'Crime': 0.246, 'Documentary': 0.177}
489272	2728	0054331	2728	Spartacus	1960	https://m.media-amazon.com/images/M/MV5BMjc4MTUxN2UtMmU1NC00MjQyLTk3YTYtZTQ0YzEzZDc0Njc0XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX182_CR0,0,182,268_AL_.jpg	{'Action': 0.331, 'Drama': 0.313, 'Mystery': 0.239}
492932	2728	0054331	2728	Spartacus	1960	https://m.media-amazon.com/images/M/MV5BMjc4MTUxN2UtMmU1NC00MjQyLTk3YTYtZTQ0YzEzZDc0Njc0XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX182_CR0,0,182,268_AL_.jpg	{'Drama': 0.254, 'War': 0.135, 'Musical': 0.123}
495320	2728	0054331	2728	Spartacus	1960	https://m.media-amazon.com/images/M/MV5BMjc4MTUxN2UtMmU1NC00MjQyLTk3YTYtZTQ0YzEzZDc0Njc0XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX182_CR0,0,182,268_AL_.jpg	{'Drama': 0.272, 'Animation': 0.268, 'Documentary': 0.242}
496808	2728	0054331	2728	Spartacus	1960	https://m.media-amazon.com/images/M/MV5BMjc4MTUxN2UtMmU1NC00MjQyLTk3YTYtZTQ0YzEzZDc0Njc0XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX182_CR0,0,182,268_AL_.jpg	{'Musical': 0.211, 'Drama': 0.185, 'Animation': 0.18}
498980	2728	0054331	2728	Spartacus	1960	https://m.media-amazon.com/images/M/MV5BMjc4MTUxN2UtMmU1NC00MjQyLTk3YTYtZTQ0YzEzZDc0Njc0XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX182_CR0,0,182,268_AL_.jpg	{'War': 0.287, 'Drama': 0.286, 'Comedy': 0.158}
500828	2728	0054331	2728	Spartacus	1960	https://m.media-amazon.com/images/M/MV5BMjc4MTUxN2UtMmU1NC00MjQyLTk3YTYtZTQ0YzEzZDc0Njc0XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX182_CR0,0,182,268_AL_.jpg	{'Drama': 0.34, 'Documentary': 0.285, 'Musical': 0.28}
501338	2728	0054331	2728	Spartacus	1960	https://m.media-amazon.com/images/M/MV5BMjc4MTUxN2UtMmU1NC00MjQyLTk3YTYtZTQ0YzEzZDc0Njc0XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX182_CR0,0,182,268_AL_.jpg	{'Documentary': 0.222, 'Adventure': 0.183, 'Drama': 0.164}
501390	2728	0054331	2728	Spartacus	1960	https://m.media-amazon.com/images/M/MV5BMjc4MTUxN2UtMmU1NC00MjQyLTk3YTYtZTQ0YzEzZDc0Njc0XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX182_CR0,0,182,268_AL_.jpg	{'War': 0.291, 'Drama': 0.2, 'Western': 0.18}
501392	2728	0054331	2728	Spartacus	1960	https://m.media-amazon.com/images/M/MV5BMjc4MTUxN2UtMmU1NC00MjQyLTk3YTYtZTQ0YzEzZDc0Njc0XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX182_CR0,0,182,268_AL_.jpg	{'Animation': 0.177, 'Film-Noir': 0.121, 'War': 0.12}
502856	2728	0054331	2728	Spartacus	1960	https://m.media-amazon.com/images/M/MV5BMjc4MTUxN2UtMmU1NC00MjQyLTk3YTYtZTQ0YzEzZDc0Njc0XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX182_CR0,0,182,268_AL_.jpg	{'Drama': 0.171, 'Crime': 0.131, 'Western': 0.122}
503498	2728	0054331	2728	Spartacus	1960	https://m.media-amazon.com/images/M/MV5BMjc4MTUxN2UtMmU1NC00MjQyLTk3YTYtZTQ0YzEzZDc0Njc0XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX182_CR0,0,182,268_AL_.jpg	{'Animation': 0.321, 'Western': 0.257, 'Musical': 0.214}
506876	2728	0054331	2728	Spartacus	1960	https://m.media-amazon.com/images/M/MV5BMjc4MTUxN2UtMmU1NC00MjQyLTk3YTYtZTQ0YzEzZDc0Njc0XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX182_CR0,0,182,268_AL_.jpg	{'Mystery': 0.216, 'Drama': 0.19, 'Film-Noir': 0.147}
507374	2728	0054331	2728	Spartacus	1960	https://m.media-amazon.com/images/M/MV5BMjc4MTUxN2UtMmU1NC00MjQyLTk3YTYtZTQ0YzEzZDc0Njc0XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX182_CR0,0,182,268_AL_.jpg	{'War': 0.318, 'Fantasy': 0.203, 'Film-Noir': 0.164}
