Movie Id,Title,Genre,Year
1,Toy Story,Adventure,1995
2,Jumanji,Adventure,1995
3,Grumpier Old Men,Comedy,1995
4,Waiting to Exhale,Comedy,1995
5,Father of the Bride Part II,Comedy,1995
6,Heat,Action,1995
7,Sabrina,Comedy,1995
8,Tom and Huck,Adventure,1995
9,Sudden Death,Action,1995
10,GoldenEye,Action,1995
11,The American President,Comedy,1995
12,Dracula: Dead and Loving It,Comedy,1995
13,Balto,Adventure,1995
14,Nixon,Drama,1995
15,Cutthroat Island,Action,1995
16,Casino,Crime,1995
17,Sense and Sensibility,Drama,1995
18,Four Rooms,Comedy,1995
19,Ace Ventura: When Nature Calls,Comedy,1995
20,Money Train,Action,1995
21,Get Shorty,Comedy,1995
22,Copycat,Crime,1995
23,Assassins,Action,1995
24,Powder,Drama,1995
25,Leaving Las Vegas,Drama,1995
26,Othello,Drama,1995
27,Now and Then,Children,1995
28,Persuasion,Drama,1995
29,The City of Lost Children,Adventure,1995
30,Shanghai Triad,Crime,1995
31,Dangerous Minds,Drama,1995
32,Twelve Monkeys,Mystery,1995
34,Babe,Children,1995
36,Dead Man Walking,Crime,1995
38,It Takes Two,Children,1995
39,Clueless,Comedy,1995
40,the Beloved Country Cry,Drama,1995
41,Richard III,Drama,1995
42,Dead Presidents,Action,1995
43,Restoration,Drama,1995
44,Mortal Kombat,Action,1995
45,To Die For,Comedy,1995
46,How to Make an American Quilt,Drama,1995
47,Seven,Mystery,1995
48,Pocahontas,Animation,1995
49,When Night Is Falling,Drama,1995
50,The Usual Suspects,Crime,1995
52,Mighty Aphrodite,Comedy,1995
53,Lamerica,Adventure,1994
54,The Big Green,Children,1995
55,Georgia,Drama,1995
57,Home for the Holidays,Drama,1995
58,The Postman,Comedy,1994
60,The Indian in the Cupboard,Adventure,1995
61,Eye for an Eye,Drama,1996
62,Mr. Holland's Opus,Drama,1995
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,Comedy,1996
64,Two if by Sea,Comedy,1996
65,Bio-Dome,Comedy,1996
66,Lawnmower Man 2: Beyond Cyberspace,Action,1996
68,French Twist,Comedy,1995
69,Friday,Comedy,1995
70,From Dusk Till Dawn,Action,1996
71,Fair Game,Action,1995
72,Kicking and Screaming,Comedy,1995
73,Les Misérables,Drama,1995
74,Bed of Roses,Drama,1996
75,Big Bully,Comedy,1996
76,Screamers,Action,1995
77,Nico Icon,Documentary,1995
78,The Crossing Guard,Action,1995
79,The Juror,Drama,1996
80,The White Balloon,Children,1995
81,Things to Do in Denver When You're Dead,Crime,1995
82,Antonia's Line,Comedy,1995
83,Once Upon a Time... When We Were Colored,Drama,1995
85,Angels and Insects,Drama,1995
86,White Squall,Action,1996
87,Dunston Checks In,Children,1996
88,Black Sheep,Comedy,1996
89,Nick of Time,Action,1995
92,Mary Reilly,Drama,1996
93,Vampire in Brooklyn,Comedy,1995
94,Beautiful Girls,Comedy,1996
95,Broken Arrow,Action,1996
96,In the Bleak Midwinter,Comedy,1995
97,Hate,Crime,1995
99,Heidi Fleiss: Hollywood Madam,Documentary,1995
100,City Hall,Drama,1996
101,Bottle Rocket,Adventure,1996
102,Mr. Wrong,Comedy,1996
103,Unforgettable,Mystery,1996
104,Happy Gilmore,Comedy,1996
105,The Bridges of Madison County,Drama,1995
106,Nobody Loves Me,Comedy,1994
107,Muppet Treasure Island,Adventure,1996
108,Catwalk,Documentary,1996
110,Braveheart,Action,1995
111,Taxi Driver,Crime,1976
112,Rumble in the Bronx,Action,1995
113,Before and After,Drama,1996
116,Anne Frank Remembered,Documentary,1995
117,The Young Poisoner's Handbook,Crime,1995
118,If Lucy Fell,Comedy,1996
119,Steal Little Steal Big,Comedy,1995
121,The Boys of St. Vincent,Drama,1992
122,Boomerang,Comedy,1992
123,Chungking Express,Drama,1994
125,Flirting With Disaster,Comedy,1996
126,The NeverEnding Story III,Adventure,1994
128,Jupiter's Wife,Documentary,1994
129,Pie in the Sky,Comedy,1996
132,Jade,Thriller,1995
135,Down Periscope,Comedy,1996
137,Man of the Year,Documentary,1995
140,Up Close and Personal,Drama,1996
141,The Birdcage,Comedy,1996
144,The Brothers McMullen,Comedy,1995
145,Bad Boys,Action,1995
146,The Amazing Panda Adventure,Adventure,1995
147,The Basketball Diaries,Drama,1995
148,An Awfully Big Adventure,Drama,1995
149,Amateur,Crime,1994
150,Apollo 13,Adventure,1995
151,Rob Roy,Action,1995
152,The Addiction,Drama,1995
153,Batman Forever,Action,1995
154,Beauty of the Day,Drama,1967
155,Beyond Rangoon,Adventure,1995
156,Blue in the Face,Comedy,1995
157,Canadian Bacon,Comedy,1995
158,Casper,Adventure,1995
159,Clockers,Crime,1995
160,Congo,Action,1995
161,Crimson Tide,Drama,1995
162,Crumb,Documentary,1994
163,Desperado,Action,1995
164,Devil in a Blue Dress,Crime,1995
165,Die Hard: With a Vengeance,Action,1995
166,The Doom Generation,Comedy,1995
168,First Knight,Action,1995
169,Free Willy 2: The Adventure Home,Adventure,1995
170,Hackers,Action,1995
171,Jeffrey,Comedy,1995
172,Johnny Mnemonic,Action,1995
173,Judge Dredd,Action,1995
174,Jury Duty,Comedy,1995
175,Kids,Drama,1995
176,Living in Oblivion,Comedy,1995
177,Lord of Illusions,Horror,1995
178,Love & Human Remains,Comedy,1993
179,Mad Love,Drama,1995
180,Mallrats,Comedy,1995
181,Mighty Morphin Power Rangers: The Movie,Action,1995
183,Mute Witness,Comedy,1994
184,Nadja,Drama,1994
185,The Net,Action,1995
186,Nine Months,Comedy,1995
187,Party Girl,Comedy,1995
188,The Prophecy,Fantasy,1995
189,Reckless,Comedy,1995
190,Safe,Thriller,1995
191,The Scarlet Letter,Drama,1995
193,Showgirls,Drama,1995
194,Smoke,Comedy,1995
195,Something to Talk About,Comedy,1995
196,Species,Horror,1995
198,Strange Days,Action,1995
199,The Umbrellas of Cherbourg,Drama,1964
201,Three Wishes,Drama,1995
202,Total Eclipse,Drama,1995
