user_id	item_id	explanations	imdbId	urls
484754	2728	"{""Horror"": -0.696, ""Thriller"": -0.293, ""Western"": 0.284, ""Crime"": 0.246, ""Action"": -0.224, ""Documentary"": 0.177, ""Animation"": 0.156, ""IMAX"": 0.143, ""War"": -0.132, ""Fantasy"": 0.132, ""Drama"": 0.119, ""Romance"": 0.095, ""Children"": 0.054, ""Adventure"": 0.041, ""Sci-Fi"": -0.03, ""Comedy"": -0.014, ""Mystery"": -0.002, ""(no genres listed)"": 0.0, ""Film-Noir"": 0.0, ""Musical"": 0.0}"	0054331	https://m.media-amazon.com/images/M/MV5BMjc4MTUxN2UtMmU1NC00MjQyLTk3YTYtZTQ0YzEzZDc0Njc0XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX182_CR0,0,182,268_AL_.jpg
489272	2728	"{""Horror"": -0.642, ""Western"": -0.373, ""Action"": 0.331, ""Sci-Fi"": -0.321, ""Drama"": 0.313, ""Thriller"": -0.3, ""Mystery"": 0.239, ""Documentary"": 0.209, ""War"": -0.203, ""Crime"": 0.158, ""Romance"": -0.145, ""Fantasy"": 0.097, ""Comedy"": 0.083, ""IMAX"": -0.072, ""Musical"": 0.07, ""Animation"": 0.067, ""Children"": 0.055, ""Adventure"": 0.044, ""(no genres listed)"": 0.0, ""Film-Noir"": 0.0}"	0054331	https://m.media-amazon.com/images/M/MV5BMjc4MTUxN2UtMmU1NC00MjQyLTk3YTYtZTQ0YzEzZDc0Njc0XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX182_CR0,0,182,268_AL_.jpg
492932	2728	"{""Sci-Fi"": -0.377, ""Horror"": -0.255, ""Drama"": 0.254, ""War"": 0.135, ""Musical"": 0.123, ""Crime"": 0.107, ""Adventure"": 0.067, ""Mystery"": 0.062, ""(no genres listed)"": 0.054, ""Comedy"": -0.023, ""Fantasy"": -0.022, ""Action"": -0.016, ""Children"": 0.012, ""Thriller"": -0.009, ""Romance"": -0.002, ""Animation"": 0.001, ""Documentary"": 0.0, ""Film-Noir"": 0.0, ""IMAX"": 0.0, ""Western"": 0.0}"	0054331	https://m.media-amazon.com/images/M/MV5BMjc4MTUxN2UtMmU1NC00MjQyLTk3YTYtZTQ0YzEzZDc0Njc0XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX182_CR0,0,182,268_AL_.jpg
495320	2728	"{""Horror"": -0.88, ""Drama"": 0.272, ""Animation"": 0.268, ""Children"": -0.259, ""Documentary"": 0.242, ""Crime"": -0.231, ""Fantasy"": -0.226, ""Film-Noir"": 0.209, ""Thriller"": -0.14, ""IMAX"": 0.05, ""Adventure"": -0.049, ""Sci-Fi"": 0.036, ""Action"": -0.03, ""War"": 0.028, ""Comedy"": -0.028, ""Mystery"": 0.011, ""Romance"": 0.002, ""Western"": -0.0, ""(no genres listed)"": 0.0, ""Musical"": 0.0}"	0054331	https://m.media-amazon.com/images/M/MV5BMjc4MTUxN2UtMmU1NC00MjQyLTk3YTYtZTQ0YzEzZDc0Njc0XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX182_CR0,0,182,268_AL_.jpg
496808	2728	"{""Horror"": -0.669, ""Mystery"": -0.394, ""Sci-Fi"": -0.373, ""Comedy"": -0.234, ""Musical"": 0.211, ""Drama"": 0.185, ""Animation"": 0.18, ""Western"": 0.173, ""Documentary"": 0.159, ""Children"": 0.079, ""IMAX"": -0.056, ""Adventure"": 0.052, ""Fantasy"": 0.05, ""Thriller"": -0.038, ""Romance"": 0.024, ""War"": 0.013, ""Action"": -0.009, ""Crime"": -0.004, ""(no genres listed)"": 0.0, ""Film-Noir"": 0.0}"	0054331	https://m.media-amazon.com/images/M/MV5BMjc4MTUxN2UtMmU1NC00MjQyLTk3YTYtZTQ0YzEzZDc0Njc0XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX182_CR0,0,182,268_AL_.jpg
498980	2728	"{""War"": 0.287, ""Drama"": 0.286, ""Fantasy"": -0.236, ""Horror"": -0.174, ""Musical"": -0.174, ""Comedy"": 0.158, ""IMAX"": 0.158, ""Adventure"": -0.152, ""Western"": 0.127, ""Mystery"": 0.107, ""Thriller"": -0.092, ""Children"": 0.05, ""Animation"": 0.035, ""Romance"": -0.03, ""Sci-Fi"": -0.023, ""Action"": -0.015, ""Crime"": 0.006, ""(no genres listed)"": 0.0, ""Documentary"": 0.0, ""Film-Noir"": 0.0}"	0054331	https://m.media-amazon.com/images/M/MV5BMjc4MTUxN2UtMmU1NC00MjQyLTk3YTYtZTQ0YzEzZDc0Njc0XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX182_CR0,0,182,268_AL_.jpg
500828	2728	"{""Drama"": 0.34, ""Documentary"": 0.285, ""Musical"": 0.28, ""Mystery"": 0.247, ""Western"": 0.213, ""Thriller"": -0.203, ""Children"": 0.201, ""Romance"": -0.186, ""Crime"": -0.179, ""Animation"": 0.152, ""Sci-Fi"": -0.142, ""War"": -0.117, ""Adventure"": -0.065, ""Action"": -0.043, ""Fantasy"": -0.027, ""Comedy"": 0.004, ""(no genres listed)"": 0.0, ""Film-Noir"": 0.0, ""Horror"": 0.0, ""IMAX"": 0.0}"	0054331	https://m.media-amazon.com/images/M/MV5BMjc4MTUxN2UtMmU1NC00MjQyLTk3YTYtZTQ0YzEzZDc0Njc0XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX182_CR0,0,182,268_AL_.jpg
501338	2728	"{""Horror"": -0.442, ""Action"": -0.371, ""IMAX"": -0.248, ""Sci-Fi"": -0.246, ""Documentary"": 0.222, ""Adventure"": 0.183, ""Drama"": 0.164, ""Animation"": 0.127, ""Thriller"": -0.12, ""Romance"": 0.117, ""Fantasy"": -0.114, ""Crime"": 0.106, ""Mystery"": -0.104, ""War"": 0.082, ""Comedy"": -0.075, ""Children"": 0.071, ""Musical"": 0.038, ""(no genres listed)"": 0.0, ""Film-Noir"": 0.0, ""Western"": 0.0}"	0054331	https://m.media-amazon.com/images/M/MV5BMjc4MTUxN2UtMmU1NC00MjQyLTk3YTYtZTQ0YzEzZDc0Njc0XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX182_CR0,0,182,268_AL_.jpg
501390	2728	"{""Horror"": -0.589, ""Crime"": -0.312, ""War"": 0.291, ""Adventure"": -0.262, ""Drama"": 0.2, ""IMAX"": -0.195, ""Fantasy"": -0.182, ""Western"": 0.18, ""Sci-Fi"": -0.174, ""Comedy"": 0.112, ""Children"": 0.098, ""Musical"": -0.074, ""Animation"": 0.073, ""Documentary"": -0.064, ""Mystery"": 0.043, ""Action"": -0.035, ""Romance"": -0.033, ""Thriller"": -0.032, ""(no genres listed)"": 0.0, ""Film-Noir"": 0.0}"	0054331	https://m.media-amazon.com/images/M/MV5BMjc4MTUxN2UtMmU1NC00MjQyLTk3YTYtZTQ0YzEzZDc0Njc0XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX182_CR0,0,182,268_AL_.jpg
501392	2728	"{""Horror"": -0.479, ""Romance"": -0.241, ""Animation"": 0.177, ""Action"": -0.177, ""Film-Noir"": 0.121, ""War"": 0.12, ""Comedy"": -0.118, ""Fantasy"": -0.099, ""Sci-Fi"": -0.098, ""Musical"": -0.095, ""Thriller"": -0.093, ""Drama"": 0.081, ""Children"": -0.041, ""Crime"": 0.025, ""IMAX"": 0.023, ""Mystery"": -0.015, ""Western"": -0.015, ""Adventure"": -0.003, ""Documentary"": -0.0, ""(no genres listed)"": 0.0}"	0054331	https://m.media-amazon.com/images/M/MV5BMjc4MTUxN2UtMmU1NC00MjQyLTk3YTYtZTQ0YzEzZDc0Njc0XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX182_CR0,0,182,268_AL_.jpg
